artist,title,genre,mood,year
Foo Fighters,X-Static,Rock,sad,1995
U2,Vertigo,Rock,happy,2004
Pursuit Of Happiness,Hard To Laugh,Rock,happy,1988
Gym Class Heroes,New Friend Request (Amended Version),Hip Hop/Rap,sad,2006
Frankee,Gotta Man,Hip Hop/Rap,happy,2004
Operator,Soulcrusher (Amended Album Version),Rock,sad,2007
The Stooges,T.V. Eye (Take 3),Rock,happy,1999
Snow Patrol,Chasing Cars,Rock,sad,2006
Moonspell,Tired,Rock,sad,1999
Heaven 17,Resurrection Man,Rock,happy,1996
The Suicide Machines,Your Silence,Rock,sad,2003
Vaselines,Teenage Superstars (Album),Rock,sad,1992
THE COOKIES,Chains (LP Version),R&B,happy,1962
Alice In Chains,Sickman,Rock,sad,1992
Seal,Prayer For The Dying (Album Version),Pop,sad,1994
The Pineapple Thief,Boxing Day,Rock,happy,2006
Ziggy Marley And The Melody Makers,What's True,Ska,happy,1988
Static-X,Love Dump (Clean Album Version),Rock,sad,1999
Sleepy John Estes,Street Car Blues,,sad,1930
The Black Crowes,Girl From A Pawnshop,Rock,sad,1996
Foo Fighters,Razor,Rock,sad,2005
Hot Chip,Hold On,Electronic,sad,2008
Mudhoney,It Is Us,Rock,happy,2006
Latif,Luv In the First,R&B,happy,2003
Rickie Lee Jones,Love Is Gonna Bring Us Back Alive,Rock,happy,1989
The Stranglers,It Only Takes Two To Tango,Rock,happy,1981
Babe Ruth,Dancer (2007 Digital Remaster),Pop,happy,1975
Emperor,With Strength I Burn,Rock,sad,1997
Uriah Heep,Wake The Sleeper,Rock,sad,2008
Margaret Becker,Start The Fire,Christian,happy,1989
Sugarbomb,Gone,Rock,happy,2001
Paloalto,Seed,Rock,sad,2003
Margaret Becker,Stay Close To Me,Rock,happy,1990
April Wine,Say Hello,Rock,happy,1979
Al Denson,Love Is Taking Hold,Christian,happy,1971
Whitesnake,Love Ain't No Stranger (2003 Digital Remaster),Rock,happy,2003
Twista,The Day After (featuring Syleena Johnson) (Explicit Chopped & Screwed Version),Hip Hop/Rap,sad,2005
The Police,Wrapped Around Your Finger,Rock,sad,1983
Shania Twain,Raining On Our Love,Country,sad,1995
The High Strung,The Luck You Got,Rock,happy,2005
Pursuit Of Happiness,Down On Him,Rock,sad,1988
K-OS,Heaven Only Knows,Hip Hop/Rap,sad,2002
Dave Hollister,I'm Wrong,Soul,sad,2006
Whitesnake,Don't Mess With Me (2006 Digital Remaster),Rock,happy,1978
Mirah,Apples in the Trees (Live),Rock,happy,2001
Dee Clark,Just Keep It Up,R&B,happy,1990
Tom Cochrane,Revelations:  Visions In A Dream,Rock,,2004
From Autumn To Ashes,Sensory Deprivation Adventure,Rock,sad,2007
Casiotone For The Painfully Alone,Dying Batteries,Jazz,sad,2001
James Taylor,One More Go Round,Rock,happy,1991
Gang Starr,Say Your Prayers,Hip Hop/Rap,sad,1991
Hurricane,I'm On To You,Rock,happy,1988
Wayne Watson,Somebody Sing,Christian,happy,2002
Pearl Jam,4/20/2002,Rock,sad,1993
Petra,Don't Let Your Heart Be Hardened (This Means War Album Version),Christian,happy,1987
Avril Lavigne,How Does It Feel,Rock,sad,2004
Crabby Appleton,Go Back,Rock,sad,1970
Lil Boosie,I Remember (amended album version),Hip Hop/Rap,sad,2006
Wilshire,When,Christian,sad,2003
Cowboy Mouth,Disconnected,Rock,happy,2003
Alice In Chains,I Know Somethin (Bout You),Rock,sad,1990
Amoral,The Last Round,Rock,sad,2004
L.A. Guns,Magdalaine,Rock,happy,1989
UFO,Out In The Street (Live In Cleveland_ Ohio),Rock,happy,1975
Lizzy Borden,There Will Be Blood Tonight,Rock,sad,2000
BigElf,Superstar,Rock,happy,2008
Mike And The Mechanics,Nobody's Perfect,Rock,happy,1988
Atari Teenage Riot,Destroy 2000 Years Of Culture,Electronic,sad,1997
Jeff Beck Group,Jody,Rock,happy,1971
Katie Armiger,Love Without Fear,Country,happy,2007
Hot Tuna,Death Don't Have No Mercy,Rock,,1970
Bob Wills,Bubbles in My Beer,Country,happy,1991
Fat Joe,Prove Something (explicit album version),Hip Hop/Rap,sad,2002
Blue Rodeo,Mystic River,Rock,happy,2007
Ice Cube,Why We Thugs (edited version),Hip Hop/Rap,sad,2006
Radney Foster,Again,Country,sad,2002
Simon & Garfunkel,Old Friends,Pop,sad,1968
Dark Fortress,Evenfall,Rock,sad,2010
Ayo,Down On My Knees,R&B,sad,2006
Mindy McCready,Be With Me,Country,happy,2002
BT,Knowledge Of Self (Evol Intent Remix),Electronic,sad,2004
Geggy Tah,Special Someone,Rock,happy,2001
Bumblefoot,Piranha,Rock,happy,2008
Red Hot Chili Peppers,Venice Queen (Album Version),Rock,happy,2002
Peter Tosh,Soon Come (2002 Digital Remaster),Pop,happy,1978
Blind Willie Johnson,If I Had My Way I'd Tear This Building Down,Blues,happy,1996
Bob Marley,Small Axe,Ska,happy,1999
A Tribe Called Quest,Scenario,Hip Hop/Rap,happy,1991
Epidemic,Catalyst (LP Version),Rock,sad,2002
Dark Fortress,Ghastly Indoctrination,Rock,sad,2006
Jeff Beck Group,Ice Cream Cakes,Rock,happy,1972
Kings Of Leon,Genius,Rock,happy,2003
Michael Jackson,Just A Little Bit Of You,R&B,happy,1975
Kraftwerk,Pocket Calculator (2009 Digital Remaster),Electronic,happy,2009
Stevie Ray Vaughan And Double Trouble,Mary Had A Little Lamb,Rock,happy,1988
L7,This Ain't Pleasure,Rock,sad,1992
Moments In Grace,Broken Promises (album version),Rock,sad,2004
Connie Smith,I'll Come Running,Country,happy,2001
Nine Inch Nails,Survivalism,Rock,sad,2007
Suicidal Tendencies,Two-Sided Politics,Rock,sad,1987
Eminem,Beautiful,Hip Hop/Rap,happy,2009
Mariah Carey,Mine Again,Pop,sad,2005
Frankie J,Gone,R&B,sad,2005
Bob Marley,Lively Up Yourself,Ska,happy,1991
Buzzcocks,Get On Our Own,Rock,happy,1978
Backstreet Boys,Shape Of My Heart,Pop,happy,2000
Korn,Proud,Rock,sad,1996
Devo,Soo Bawlz,Rock,happy,1979
Rihanna,Music Of The Sun,R&B,happy,2005
Matisyahu,Refuge,Ska,sad,2004
Ashton Shepherd,Old Memory,Country,sad,2008
Tom Cochrane,Washed Away,Rock,happy,1992
Gov't Mule,Broke Down On The Brazos (Album),Rock,happy,2009
Sir Douglas Quintet,She's About A Mover,Rock,happy,1999
Michelle Tumes,Christe Eleison (Christ Have Mercy) (Center Of My Universe Album Version),Christian,sad,2000
OutKast,Call Of Da Wild,Hip Hop/Rap,sad,
Michael Jackson,Dirty Diana,R&B,happy,1987
Rea_ Chris,E,Rock,sad,1999
Baby D,Let Me Be Your Fantasy,Electronic,happy,2002
Patti Smith,Wing,Rock,sad,1996
The Fabulous Thunderbirds,Why Get Up,Rock,sad,1986
Van Halen,Can't Stop Lovin' You (Remastered Album Version),Rock,happy,1995
Wolfmother,Dimension,Rock,happy,2004
Suicidal Tendencies,It's Going Down,Rock,sad,1992
Adam Ant,Friend Or Foe,Rock,happy,1982
Rainbow,Can't Happen Here,Rock,sad,1981
Kathy Mattea,The Southern Soldier Boy,Country,sad,1991
White Heart,Edge Of The Dream (Emergency Broadcast Album Version),Christian,happy,2000
Chuck Wicks,If We Loved,Country,sad,2008
Beyoncé,Ring The Alarm,R&B,sad,2006
Steve Vai,Brother,Rock,sad,1996
Mighty Mighty Bosstones,Patricia,Ska,happy,1989
Michael Jackson,We're Almost There,R&B,happy,1975
45 Grave,Party Time,Rock,happy,1989
The Ataris,The Hero Dies in This One,Rock,sad,2003
Fall Out Boy,Dance_ Dance,Rock,happy,2008
White Heart,Hold On,Christian,happy,1982
Patty Griffin,Moses,Rock,sad,1996
The Doors,Strange Days ( LP Version ),Rock,sad,1967
40 Grit,A Part Of Me,Rock,sad,2003
Johnny Horton,Got The Bull By The Horns,Country,happy,1996
Britt Nicole,Don't Worry Now (Performance Track In Key Of Db Without Background Vocals),Christian,sad,2007
Carl Smith,Loose Talk,Country,happy,1990
Patsy Cline,I Cried All The Way To The Altar,Country,sad,1995
Bad Company,Valerie (LP Version),Rock,happy,1986
Incubus,Warning,Rock,sad,2001
Bryan Ferry,Wildcat Days (1999 Digital Remaster),Rock,sad,1994
Santana,Let It Shine,Blues,happy,1976
Janet Jackson,When I Think Of You,R&B,happy,1986
Chris Brown,So Glad,R&B,happy,2005
Lollipop Lust Kill,No Answer (Outro),Rock,sad,2002
Agnostic Front,Undertow,Rock,sad,1992
Kenny G,Don't Make Me Wait For Love,Jazz,sad,1986
Frederick Knight,I've Been Lonely (For So Long),R&B,sad,2000
Phantom Planet,Leader (Album Version),Rock,happy,2008
Amil,Anyday,Hip Hop/Rap,sad,2000
Circle Jerks,Paid Vacation,Rock,sad,1980
30 Seconds To Mars,Night of the Hunter (Static Revenger Remix),Rock,sad,2009
Hatebreed,Boxed In (Subzero),Rock,sad,2009
Jennifer Lopez,Play,Pop,happy,2001
Twista & The Speedknot Mobstaz,Warm Embrace (LP Version),Hip Hop/Rap,happy,2008
Pursuit Of Happiness,No Safe Place,Rock,sad,1990
Redman,Jam 4 U,Hip Hop/Rap,sad,1992
Silverstein,BLEEDS NO MORE (Live Version),Rock,sad,2006
Twista,It Feels So Good (Album Version),Hip Hop/Rap,happy,1997
Kings Of Leon,Day Old Blues,Rock,sad,2004
Sex Pistols,Seventeen,Rock,happy,1977
Atari Teenage Riot,Revolution Action,Electronic,happy,1999
Scott Weiland,The Date ( LP Version ),Rock,sad,1998
Kris Kristofferson,Killer Barracuda,Country,sad,1995
Bravehearts,Sensations,Hip Hop/Rap,happy,2003
Jason Mraz,Did You Get My Message?  (Live From Shubas),Rock,sad,2007
Lil' Romeo,Don't Want To,Hip Hop/Rap,sad,2001
Seal,The Beginning (Giro E Giro Mix),Pop,happy,1991
Curtis Mayfield,Superfly (Single Mix Version),R&B,sad,2005
Sugar Ray,Mean Machine (Remastered LP Version),Rock,happy,2005
Rick Astley,You Move Me,Pop,happy,1987
FFH,Why Do I,Christian,happy,2000
brokeNCYDE,Schitzo,Hip Hop/Rap,sad,2008
Britt Nicole,Set The World On Fire,Christian,happy,2007
Toni Braxton,He Wasn't Man Enough,R&B,happy,2000
Van Halen,Panama (Album Version),Rock,happy,2003
Burning Spear,Tumble Down,Ska,sad,1991
Mungo Jerry,Alright_ Alright_ Alright,Rock,happy,1990
Wyclef Jean,Heaven's In New York,Hip Hop/Rap,happy,
Thomas Dolby,Screen Kiss,Rock,happy,1984
The Distillers,Oh Serena,Rock,sad,2000
Amil,Get Down,Hip Hop/Rap,happy,2000
It Dies Today,Sixth of June,Rock,sad,2007
Dean Martin,Pennies From Heaven,Jazz,sad,1997
Emperor,In the Wordless Chamber,Rock,sad,2001
Uriah Heep,Ghost of the Ocean (Live),Rock,sad,2008
Sasha,Owner Of My Heart (Album Version),Electronic,sad,2006
30 Seconds To Mars,Hunter,Rock,sad,2005
Silverstein,MY CONSOLATION (LP Version),Rock,sad,2006
Mando Diao,All My Senses,Rock,sad,2004
The Clash,Lose This Skin,Rock,sad,1980
Madonna,Bedtime Story (Album Version),Pop,happy,1994
The Rolling Stones,Fortune Teller,Rock,happy,1963
Jah Cure,To Your Arms of Love,Ska,happy,2007
Nightwish,Sleepwalker,Rock,sad,2000
The Police,Voices Inside My Head,Rock,sad,1980
Zeromancer,Mosquito Coil,Rock,sad,2003
Al Denson,Rain Love,Christian,happy,1999
Leona Naess,Heavy Like Sunday,Rock,sad,2008
Phil Collins,Dance Into The Light (LP Version),Rock,happy,1996
Kathy Mattea,Standing Knee Deep In a River (Dying Of Thirst),Country,sad,1992
Santana,Persuasion,Blues,happy,1969
Behemoth,He Who Breeds Pestilence,Rock,sad,2009
Sylver,Sympathy,Dance,sad,2004
Shakira,Poem To A Horse,Pop,sad,2001
Taking Dawn,Black Diamond,Rock,sad,2010
Eminem,Paul,Hip Hop/Rap,sad,1999
Dixie Chicks,Lullaby,Country,happy,2006
Wyclef Jean,Something About Mary,Hip Hop/Rap,happy,2000
Phil Collins,That's What You Said  (LP Version),Rock,sad,1996
Phil Collins,I Cannot Believe It's True,Rock,sad,1982
Rickie Lee Jones,It Must Be Love (Live Acoustic Version),Rock,happy,1984
No Address,Pretty Girl (Amended Version),Rock,happy,2005
Rihanna,The Hotness (ft. Shontelle),R&B,happy,2006
Helmet,Everybody Loves You,Hip Hop/Rap,happy,2004
The Cure,Lost,Rock,sad,2004
K's Choice,A Sound That Only You Can Hear,Rock,happy,1995
The Police,Man In A Suitcase,Rock,happy,1980
Oasis,Columbia,Pop,,1994
Don Gibson,Who Cares,Country,happy,1987
Bruce Springsteen,Rosalita (Come Out Tonight),Rock,happy,1973
Devo,The 4th Dimension (LP Version),Rock,happy,1984
Alicia Keys,Heartburn,R&B,happy,2003
My Chemical Romance,Interlude (Album Version),Rock,sad,2004
Hot Chip,Ready For The Floor (Radio Edit),Electronic,happy,2008
OutKast,Wailin',Hip Hop/Rap,sad,1996
Hank Locklin,Send Me The Pillow You Dream On,Country,happy,1960
Bad Religion,The Lie,Rock,sad,2002
Jessica Simpson,Take My Breath Away,Pop,happy,2004
Don Gibson,Blue Blue Day,Country,happy,1987
Alicia Keys,If I Was Your Woman,R&B,sad,2005
Mariah Carey,Clown,Pop,happy,2002
Kane,All I Can Do,Rock,sad,2005
Aswad,Your Recipe,Ska,happy,1982
Jonny Lang,One Person At A Time,Christian,happy,2006
Jennifer Lopez,We Gotta Talk,Pop,sad,2001
Cowboy Mouth,Jenny Says,Rock,sad,1996
Gang Starr,Mostly Tha Voice (Explicit),Hip Hop/Rap,sad,1994
Vixen,American Dream,Electronic,happy,1988
Metallica,Metal Militia,Rock,sad,1982
Johnny Horton,The Woman I Need (Honky Tonk Mind),Country,happy,2000
Dixie Chicks,Hole In My Head,Country,happy,1999
Janis Joplin,Get It While You Can,Rock,happy,1971
Bad Company,Simple Man,Rock,sad,1976
King Diamond,Shrine (Reissue) (Album Version),Rock,sad,2003
Jay & The Americans,Let's Lock The Door (And Throw Away The Key),Rock,happy,1990
Dilated Peoples,World On Wheels,Hip Hop/Rap,sad,2004
Foo Fighters,Overdrive,Rock,happy,2002
Akon,Don't Matter,R&B,happy,2006
Slipknot,Gently (Album Version),Hip Hop/Rap,sad,1996
The Ataris,I Won't Spend Another Night Alone,Rock,happy,1999
Chris Brown,I Love U,R&B,happy,2009
Dropkick Murphys,Going Strong (Album Version),Rock,happy,2004
Beyoncé,Single Ladies (Put A Ring On It),R&B,happy,2008
Belle and Sebastian,I Could Be Dreaming,Rock,happy,1996
Tom Petty,Wildflowers (Album Version),Rock,,1994
Annie Lennox,A Whiter Shade Of Pale,Pop,happy,1995
Blink-182,All Of This,Rock,sad,2003
Beyoncé,Ring The Alarm,R&B,happy,2006
Mase,Wanna Hurt Mase? (Album Version),Hip Hop/Rap,sad,1997
Dimmu Borgir,The Chosen Legacy,Rock,sad,2007
Shakira,Donde Estas Corazon,Pop,happy,1997
Petra,Hollow Eyes (Beat The System Album Version),Christian,sad,1985
James Taylor,Down In The Hole,Rock,sad,1991
Soulwax,Soul Simplicity,Rock,happy,1996
Sister Hazel,Come Around (Acoustic),Rock,happy,1994
The Strokes,Between Love & Hate,Rock,sad,2003
Britney Spears,My Prerogative,Pop,sad,2004
Cockney Rejects,Oi! Oi! Oi!,Rock,happy,1997
Billie Jo Spears,What I've Got In Mind,Country,happy,1976
UFO,Out In The Street,Rock,happy,1975
Busta Rhymes,Genesis,Hip Hop/Rap,sad,2001
To My Surprise,Easy or Not (Album Version),Rock,happy,2003
Bob Dylan,Trying To Get To Heaven,Rock,sad,1997
Snow Patrol,Spitting Games,Rock,sad,2003
Rise Against,Drones,Rock,sad,2006
Lesley Gore,It's My Party,Pop,happy,1963
Thrice,The Earth Isn't Humming,Rock,sad,2008
Snow Patrol,New Sensation,Rock,sad,2009
Salt The Wound,From My Hands,Rock,sad,2009
The Misfits,The Haunting,Rock,sad,1997
Dickies,Just Say Yes,Rock,happy,1990
Audio Adrenaline,Some Kind Of Zombie (Criscoteque Remix),Rock,sad,1997
Kiss,Radar For Love,Rock,happy,1985
Back Door Slam,Heavy On My Mind (Album Version),Rock,sad,2007
The Jam,The Modern World,Rock,sad,1977
Ann Lee,So deep,Pop,sad,2000
Carl Belew,Am I That Easy To Forget,Country,sad,1959
Grizzly Bear,Little Brother,Pop,sad,2006
George Jones,Ol' Frank,Country,sad,1986
Julie Roberts,The Chance,Country,happy,2004
Natalie Cole,The Gift,R&B,happy,1985
Teena Marie,Playboy,R&B,happy,1983
Amorphis,Misery Path (From the Privilege of Evil),Rock,sad,1992
Britney Spears,3,Pop,happy,2009
Thrice,Red Sky,Rock,sad,2005
Amorphis,Crimson Wave,Rock,sad,2001
Lost Boyz,What's Wrong,Hip Hop/Rap,sad,1997
Anti-Flag,On Independence Day,Rock,sad,2009
Death From Above 1979,Romantic Rights (Jesper Dahlback Remix),Rock,happy,2004
Helmet,Street Crab,Hip Hop/Rap,sad,1994
3OH!3,CHOKECHAIN (Amended Album Version),Hip Hop/Rap,sad,
The Ataris,Whatever Lies Will Help You Rest,Rock,sad,2006
Michael Card,Joy In The Journey (The Final Word Album Version),Christian,happy,1994
Nine Inch Nails,Sin,Rock,sad,1989
Bob Marley & The Wailers,Smile Jamaica,Ska,sad,1992
Taking Back Sunday,Catholic Knees (Album Version),Rock,sad,2009
Belphegor,The Sukkubus Lustrate,Rock,sad,2008
Brian Littrell,Wish,Pop,sad,2006
Arctic Monkeys,Fake Tales Of San Francisco,Rock,sad,2004
Seven Mary Three,Hammer & a Stone,Rock,sad,2008
Sunscreem,Perfect Motion,Electronic,happy,1992
Coldplay,Speed Of Sound (Live),Rock,sad,2005
Bloc Party,One More Chance,Rock,sad,2009
George Huff,Have Yourself A Merry Little Christmas (LP Version),Pop,happy,2001
The Smashing Pumpkins,Real Love,Rock,happy,2000
Rihanna,We Ride,R&B,sad,2006
Oceansize,New Pin (edit),Rock,sad,2005
Blackalicious,World Of Vibrations (Album Version),Hip Hop/Rap,happy,2005
Dishwalla,Moisture,Rock,sad,1995
Happy Mondays,Olive Oil,Rock,sad,1987
Aiden,Black Market Hell,Rock,sad,2009
Eastmountainsouth,Hard Times,Pop,sad,2003
David Phelps,One King (Album Version),Christian,sad,2007
Darden Smith,Perfect Moment,Blues,happy,2002
VHS Or Beta,You Got Me (The Juan Maclean Dub),Rock,happy,2006
Righteous Brothers,Little Latin Lupe Lu,Pop,happy,1975
Kane,Rain Down On Me,Rock,happy,2001
Foals,Red Socks Pugie,Rock,sad,2008
Faith Hill,I Want You (Album Version),Country,happy,2005
Liquid Gang,I Applaud You  (LP Version),Rock,happy,2000
Carolyn Arends,Happy,Christian,happy,1999
Devo,Going Under,Rock,sad,1981
Tracy Byrd,Walking To Jerusalem,Country,happy,1996
Casiotone For The Painfully Alone,White Jetta,Jazz,sad,2009
Michael Card,Arise_ My Love (Song Of Solomon),Christian,sad,1991
Rachael Starr,Till There Was You (John Creamer & Stephane K Remix),Electronic,sad,2005
Rancid,Meteor Of War (Album Version),Ska,sad,2000
Circle Jerks,Question Authority,Rock,sad,1982
Nick Cave & The Bad Seeds,Wings Off Flies (2009 Digital Remaster),Rock,sad,1984
The Gathering,Gaya's Dream,Electronic,sad,2001
Jefferson Starship,Fading Lady Light,Rock,happy,1979
Amy Winehouse,Valerie,R&B,sad,2007
Eazy-E,I'mma Break It Down,Hip Hop/Rap,sad,1988
Heaven 17,Come Live With Me (12'' Extended Version) (2006 Digital Remaster),Rock,sad,1983
